country,region,year,urban_sol,agriculture_sol,total_sol
CHN,Chongqing,2017,143847.71917913356,96719.01177127782,401241.7656135255
CHN,Guangxi,2017,165969.87021757395,124001.79500912498,724012.8060418786
CHN,Guizhou,2017,80696.49329096184,134456.53656059323,666333.9058291126
CHN,Zhejiang,2017,755131.1942393216,125788.57249820753,1384087.9428493562
CHN,Yunnan,2017,196948.23211036384,164734.5483021493,945604.0805909858
CHN,Hebei,2017,480538.7706058396,647881.4997523155,1196395.6557242307
CHN,Heilongjiang,2017,309245.1772760577,663857.7921245636,1442721.2883497777
CHN,Henan,2017,423069.55474381906,608432.0250664265,1117058.1287280847
CHN,Hubei,2017,237368.43973244537,165159.05902494336,744100.9970726767
CHN,Hunan,2017,194557.3549949128,91352.20423181825,723441.8347140967
CHN,Inner Mongolia,2017,193145.05257266216,1590117.707759993,2519951.5465068608
CHN,Jiangsu,2017,1153324.3737937917,464718.51167545223,1970096.7196469202
CHN,Guangdong,2017,953416.1436057619,151208.54082574,1781027.4464582328
CHN,Beijing,2017,388225.54178793565,74670.76369242674,479270.42554505396
CHN,Jilin,2017,243003.7289922156,356517.7944670503,739158.5088350626
CHN,Xinjiang,2017,202080.24426727003,1299708.452750205,3822848.8422754453
CHN,Tianjin,2017,292754.1803107925,86976.41276956118,420512.4400928083
CHN,Jiangxi,2017,144014.3040562928,68073.0348088395,528009.4299439761
CHN,Sichuan,2017,327783.4159476017,490291.8303062625,1376677.186158269
CHN,Tibet Autonomous Region,2017,5505.608471586073,1034404.2776379229,1814163.0374136516
CHN,Hainan,2017,52760.86573975694,36239.0341113817,189160.3459185247
CHN,Anhui,2017,355101.62471349735,390604.87351527874,945045.1647105493
CHN,Fujian,2017,420367.12293892965,68893.19040091913,844227.7949365183
CHN,Gansu,2017,88446.2631752713,502493.1311830871,951782.2340280417
CHN,Shanghai,2018,468975.0362540397,53010.14950140573,555645.9471739751
CHN,Shanxi,2018,331295.15850648715,434615.6074488904,822516.8858999514
CHN,Shaanxi,2018,267180.92878663936,532578.1328808657,987000.9718379327
CHN,Shandong,2018,740192.3290563207,894869.3772146307,1700170.024635157
CHN,Ningxia Hui,2018,45141.63186487766,233785.89921193995,288166.02573638374
CHN,Qinghai,2018,40159.9186605509,767105.9751601,1194482.2728418114
CHN,Liaoning,2018,489902.2263563916,422538.8751657106,1021604.7215869073
CHN,Chongqing,2018,160259.32964711785,102215.3073514731,427863.5995559553
CHN,Guangxi,2018,174603.06006931418,122596.59295890406,722522.509355639
CHN,Guizhou,2018,85292.79174667761,141186.06164449628,691830.5035797711
CHN,Zhejiang,2018,764157.0500848867,141340.5687100293,1414071.3388070567
CHN,Yunnan,2018,212131.36114838783,170981.4564079533,985190.6151474301
CHN,Hebei,2018,480337.4524892352,655189.8008323689,1203988.817549466
CHN,Heilongjiang,2018,314290.57209022174,664859.2558324792,1440157.6470968423
CHN,Henan,2018,457772.7491625133,627520.0756662252,1181009.0926361356
CHN,Hubei,2018,248691.61218246067,172559.44686322662,776351.2054067295
CHN,Hunan,2018,205113.75374099248,95826.34260612621,747238.200306333
CHN,Inner Mongolia,2018,192951.3937776687,1555234.7380175295,2443503.2829010435
CHN,Jiangsu,2018,1214341.1232563676,488684.4923459997,2065909.5274061551
CHN,Guangdong,2018,1023437.0346489886,168564.7452788887,1911088.112336722
CHN,Beijing,2018,378491.62134349503,76246.47951562193,471705.3003659985
CHN,Jilin,2018,263148.6701034125,348440.0370677633,743609.1595981132
CHN,Xinjiang,2018,217489.63293534896,1274583.9515412524,3629897.3956970284
CHN,Tianjin,2018,297181.1748481935,87458.70900680737,428625.2626612089
CHN,Jiangxi,2018,157360.34749570652,73049.3974287843,548371.2952542178
CHN,Sichuan,2018,370974.975973322,497196.8393563714,1446422.7782370988
CHN,Tibet Autonomous Region,2018,5803.733097750708,988195.8015739367,1708228.3654024317
CHN,Hainan,2018,54871.54097501531,40178.2988472482,198686.345195605
CHN,Anhui,2018,377287.19519431365,412412.49397123174,998541.7151802288
CHN,Fujian,2018,431860.34799810627,74564.11089406768,851936.6325717004
CHN,Gansu,2018,96431.91609848206,525102.7027404701,967447.1655066224
CHN,Shanghai,2019,480926.0479701255,56427.190389352225,572743.3917784031
CHN,Shanxi,2019,382406.6810760491,476024.3981957904,921191.9084622681
CHN,Shaanxi,2019,283293.81263738085,566558.5568806932,1036087.5957567107
CHN,Shandong,2019,796333.3043777987,983427.3885644965,1852593.5153290075
CHN,Ningxia Hui,2019,42878.8347452408,236785.7875715126,288740.93873148406
CHN,Qinghai,2019,40212.737140721554,793928.8273220364,1240033.75360418
CHN,Liaoning,2019,511428.5357058645,464922.874519965,1090312.8833289493
CHN,Chongqing,2019,172809.40828087428,103689.35010530603,448434.9685487963
CHN,Guangxi,2019,183882.70624503266,129447.34473495845,750537.5952193334
CHN,Guizhou,2019,85752.08659977125,126927.91110870724,656735.4270051569
CHN,Zhejiang,2019,812104.8925401055,155275.1273813709,1521423.727927103
CHN,Yunnan,2019,227418.95220152134,167106.01235113945,948180.6759559199
CHN,Hebei,2019,554507.8863108319,742079.7144657118,1371610.3326422162
CHN,Heilongjiang,2019,340367.31148795295,709724.9928278804,1504425.5366037379
CHN,Henan,2019,516011.59184756165,696603.3186748095,1323711.523292254
CHN,Hubei,2019,274092.85637129855,179973.30222738572,849543.0509427409
CHN,Hunan,2019,217775.6132388369,92631.16235911955,767783.1076407174
CHN,Inner Mongolia,2019,203638.78511364048,1708483.143118399,2636614.0795948696
CHN,Jiangsu,2019,1267528.0381945036,542820.1156919281,2202564.626132443
CHN,Guangdong,2019,1115765.7811503645,187408.92082456648,2076414.080678076
CHN,Beijing,2019,430586.0040525704,98513.81420411664,550217.5373498737
CHN,Jilin,2019,301550.055183991,411760.1718012957,855088.0541759189
CHN,Xinjiang,2019,223721.88490381127,1394019.9052649867,3894927.5590366065
CHN,Tianjin,2019,318921.45263798913,97336.44308105917,464569.97723311227
CHN,Jiangxi,2019,175714.9232281415,74714.18891639715,581729.7126461512
CHN,Sichuan,2019,401859.75698629464,515135.1878052197,1504367.406427718
CHN,Tibet Autonomous Region,2019,7185.775953914254,939802.779107193,1657473.9720386951
CHN,Hainan,2019,57831.64174753685,46592.91711670359,203045.6750536258
CHN,Anhui,2019,407538.42099938047,462871.7305145588,1098968.022768029
CHN,Fujian,2019,450261.5301456378,85987.58380375314,896259.5709685
CHN,Gansu,2019,96816.57416051245,547749.9715909332,1009595.7509095947
CHN,Shanghai,2020,490698.8797911938,58678.03730933083,584396.8632716442
CHN,Shanxi,2020,406270.8614417479,523133.8458253752,1002904.8873710495
CHN,Shaanxi,2020,275981.79040477745,595553.7591106588,1084577.2975753585
CHN,Shandong,2020,861219.3302749571,1081909.0273525477,2025637.480402066
CHN,Ningxia Hui,2020,44464.608801884046,266928.5776521046,321496.1577639022
CHN,Qinghai,2020,43569.69317305118,854121.6744924254,1348154.4120346133
CHN,Liaoning,2020,500587.5183905012,490736.6156630712,1113993.0868903173
CHN,Chongqing,2020,173268.0985158483,119404.47164913069,485733.0084440398
CHN,Guangxi,2020,172287.68436110357,154091.43239674164,853033.4455563774
CHN,Guizhou,2020,76791.55521548637,130012.5187751117,680106.7115087841
CHN,Zhejiang,2020,889395.5121773774,175416.85682321494,1688398.3561189335
CHN,Yunnan,2020,211980.94489707582,189841.23822733262,1113939.504391934
CHN,Hebei,2020,582805.137967864,827128.7586403554,1498838.377965598
CHN,Heilongjiang,2020,316590.23438932945,780599.7615405966,1642656.6424147896
CHN,Henan,2020,546617.7164973754,753169.9126021725,1439547.1527694627
CHN,Hubei,2020,296143.6753197341,191526.99708140263,936378.2843744123
CHN,Hunan,2020,207416.64233121646,107054.4418294493,815982.331930476
CHN,Inner Mongolia,2020,200667.1490045975,1968794.610001927,3006036.855817881
CHN,Jiangsu,2020,1349537.605311057,583009.4524197178,2358113.1468490926
CHN,Guangdong,2020,1127475.368972136,219965.70982850573,2196364.224222617
CHN,Beijing,2020,438322.4139783354,106525.44732874687,568761.3989272008
CHN,Jilin,2020,306095.21722294146,463621.5747027017,932021.7039493975
CHN,Xinjiang,2020,209349.33159756218,1660011.4784441204,4557122.02653151
CHN,Tianjin,2020,329047.145910123,100080.84419875483,477936.9660036939
CHN,Jiangxi,2020,188786.45090735305,85905.2065322193,662326.2996843444
CHN,Sichuan,2020,414754.6969317244,583779.6420828578,1694814.2109497047
CHN,Tibet Autonomous Region,2020,7673.288173385169,1156286.5008525893,2008807.4683901924
CHN,Hainan,2020,55967.41713264829,59443.41332225158,236258.27022101858
CHN,Anhui,2020,429723.9899364476,497787.418517333,1198288.7989308485
CHN,Fujian,2020,435353.9525151162,88399.22187609499,921680.8445119578
CHN,Gansu,2020,97431.5719714087,583977.1416389125,1101498.0811483585
CHN,Shanghai,2021,502016.67196844885,63003.00622419141,604259.3685067096
CHN,Shanxi,2021,451603.944067037,581119.4443207909,1114567.4469951242
CHN,Shaanxi,2021,328541.4900652915,651078.5951003669,1222785.4432351075
CHN,Shandong,2021,964085.2904672732,1186982.6593649224,2246669.2419074075
CHN,Ningxia Hui,2021,48588.749788769324,290308.6477577129,349287.64183731336
CHN,Qinghai,2021,51941.14102113048,985359.8221086184,1542790.0446394137
CHN,Liaoning,2021,525791.1821374798,540851.224909864,1202605.7880154175
CHN,Chongqing,2021,179918.60357248783,137684.97733217705,539143.5243837896
CHN,Guangxi,2021,203423.60030217696,195926.37275193003,993274.7492180297
CHN,Guizhou,2021,86589.82065730105,139683.93482373847,748167.4904727573
CHN,Zhejiang,2021,955800.2872290278,193771.35673006446,1840866.6718359408
CHN,Yunnan,2021,229607.248665449,212042.7422412262,1221492.0449747355
CHN,Hebei,2021,632516.3915417499,913122.8962752931,1648163.7886774528
CHN,Heilongjiang,2021,343484.1444181465,848766.1404522574,1795209.7818425433
CHN,Henan,2021,623581.300636161,837864.5942116375,1618939.4724452742
CHN,Hubei,2021,336883.97081192886,218905.42651547393,1080062.0728475198
CHN,Hunan,2021,230068.36713825408,118577.95778830913,909704.843725411
CHN,Inner Mongolia,2021,208694.99279719873,2147067.8399492046,3310331.8328235922
CHN,Jiangsu,2021,1429388.7295395476,618620.5150316592,2505545.220486568
CHN,Guangdong,2021,1406068.3877957575,284429.58081504615,2713962.936906825
CHN,Beijing,2021,463009.25599820266,108213.44158185465,598316.3795546495
CHN,Jilin,2021,348668.4562505238,504605.2606053635,1037608.0268625417
CHN,Xinjiang,2021,234655.44685308792,1732556.8347619546,4931801.891007922
CHN,Tianjin,2021,360200.82454502257,103195.89749095825,513864.2707606176
CHN,Jiangxi,2021,221030.6202812362,101142.9110283687,777756.9844798004
CHN,Sichuan,2021,432104.5645810577,668811.2448263598,1873892.2433481207
CHN,Tibet Autonomous Region,2021,8365.629329353455,1284605.816852683,2254797.5975722875
CHN,Hainan,2021,66640.89575622327,84291.63933401808,301119.3170563792
CHN,Anhui,2021,454688.78680083493,539273.7091510069,1300485.5041119063
CHN,Fujian,2021,528125.2597628781,99194.97926533446,1094074.955821462
CHN,Gansu,2021,109106.76120166358,650681.3942188466,1240826.9541308556
